date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
23-02-2021 21:00,1,32.94,15.6,55.43,1330.45,112.74,393.0,28.36,63.19
23-02-2021 22:00,1,30.93,14.59,58.2,1200.6,112.37,377.59,28.32,63.77
23-02-2021 23:00,1,27.64,13.44,55.03,1177.9,112.7,372.48,28.34,64.2
24-02-2021 00:00,1,24.38,12.36,54.77,1267.48,112.48,389.07,28.3,64.74
24-02-2021 01:00,1,22.52,11.64,53.79,1322.29,114.33,393.0,28.3,65.19
24-02-2021 02:00,1,22.14,11.53,55.81,1358.39,115.99,394.31,28.25,65.56
24-02-2021 03:00,1,21.57,11.24,54.8,1309.69,114.17,393.0,28.22,65.92
24-02-2021 04:00,1,20.99,11.13,53.85,1270.91,113.92,393.0,28.2,66.29
24-02-2021 05:00,1,20.96,11.06,52.8,1263.66,113.01,393.0,28.19,66.58
24-02-2021 06:00,1,21.34,11.18,54.31,1322.68,115.37,399.55,28.16,66.91
24-02-2021 07:00,1,23.5,11.78,55.29,1372.34,115.81,418.76,28.19,67.17
24-02-2021 08:00,1,33.46,15.7,65.63,1289.44,113.14,399.99,28.19,67.3
24-02-2021 09:00,1,72.61,30.9,118.66,746.62,119.44,304.36,28.14,66.78
24-02-2021 10:00,1,98.18,41.6,131.74,976.65,125.47,285.29,28.37,65.98
24-02-2021 11:00,1,58.45,26.88,40.32,1065.3,85.4,295.84,25.82,58.98
24-02-2021 12:00,1,54.0,24.6,58.07,1227.94,98.05,319.64,25.7,60.94
24-02-2021 13:00,1,40.57,19.94,62.1,1316.75,106.99,351.08,25.82,62.84
24-02-2021 14:00,1,33.93,16.66,58.82,1274.73,103.73,367.67,25.85,63.34
24-02-2021 15:00,1,34.32,16.29,55.56,1626.5,100.49,366.33,25.83,62.62
24-02-2021 16:00,1,32.49,15.32,56.37,1467.26,102.98,355.88,25.78,61.43
24-02-2021 17:00,1,45.67,20.25,88.96,1020.13,125.18,347.59,27.42,63.38
24-02-2021 18:00,1,45.57,20.54,69.78,917.18,112.39,366.8,27.72,64.11
24-02-2021 19:00,1,40.69,18.27,67.23,899.04,113.89,366.8,27.72,65.12
24-02-2021 20:00,1,35.95,16.67,61.34,910.31,110.94,373.35,27.78,65.6
24-02-2021 21:00,1,33.3,15.71,55.91,896.55,112.45,386.89,27.8,66.06
24-02-2021 22:00,1,33.01,15.65,53.49,931.12,110.54,393.0,27.8,66.27
24-02-2021 23:00,1,32.64,15.6,50.65,934.56,111.07,393.0,27.8,66.22
25-02-2021 00:00,1,31.2,15.19,51.5,1004.09,109.72,399.99,27.8,66.38
25-02-2021 01:00,1,31.48,15.34,51.63,1024.52,108.56,412.21,27.78,66.47
25-02-2021 02:00,1,32.32,15.26,53.13,976.01,110.35,395.18,27.7,66.57
25-02-2021 03:00,1,31.62,14.82,49.01,890.25,111.51,393.0,27.7,66.58
25-02-2021 04:00,1,28.23,13.86,47.18,891.02,109.44,393.0,27.7,66.82
25-02-2021 05:00,1,25.86,13.15,47.7,938.96,108.75,393.44,27.7,67.12
25-02-2021 06:00,1,26.27,13.12,48.91,969.9,108.12,398.24,27.61,67.42
25-02-2021 07:00,1,27.8,13.56,51.79,1034.65,109.94,414.83,27.64,67.81
25-02-2021 08:00,1,31.47,14.46,51.71,1013.22,110.88,419.2,27.83,67.69
25-02-2021 11:00,1,26.0,12.6,41.22,2097.18,88.45,393.0,27.7,61.5
